id,creature_name,creature_shortname,rarity_tier,subspecies_name,colouring_name,style_name,mood_name,motion_name,elemental_affinity,environment_name
05aa7be1-5a52-422d-ba09-e1e5c19e7187,Naturalistic Rift Walker of Dimension,Naturrifwals,Common,Rift Walker,Gold & flame,Naturalistic,Proud,Roaring stance,Nature,Horizon
56826c76-f158-43e4-a9c0-4d89acb76511,Goldwing Moth,Goldwoth,Common,Moth,Gold & brown,Gothic,Aggressive,Roaring stance,Spirit,Riverbank
6b7d9ffb-9923-4a1e-b956-26747f09bb99,Goldwing Fire Dragon,Goldwirdrac,Uncommon,Fire Dragon,Gold & brown,Naturalistic,Proud,Roaring stance,Void,Core
f02903ed-227e-43ed-a7e6-cc4a2e8d2d12,Proud Silver Qilin,Orgulplailin,Common,Qilin,Silver & gold,Naturalistic,Proud,Roaring stance,Light,Marsh
4f834310-e594-4cca-bffe-76391c400f4e,Naturalistic Storm Child of Weather,Naturstochit,Rare,Storm Child,Gold & brown,Naturalistic,Aggressive,Roaring stance,Space,Tower
cc6443c9-7f0d-4bea-9f5f-1ef45dda6fa7,Proud Gold Shadow Dragon,Proudgolshaa,Common,Shadow Dragon,Gold & brown,Gothic,Proud,Roaring stance,Light,Cyberspace
c9a6a448-c6b5-4dd0-8d96-7d9d81d2481f,Silverwing Summer Blaze,Silvesumlaze,Common,Summer Blaze,Silver & gold,Gothic,Aggressive,Roaring stance,Cosmic,Arcade
d31a5c65-1118-4f12-82c0-6d44a3edf6fa,The Aggressive Meteor Wolf,Feroxmetlup,Rare,Meteor Wolf,Gold & flame,Naturalistic,Aggressive,Roaring stance,Light,Toybox
58a19366-5e7f-4d04-ada4-fd9981d3970f,The Proud Elephant,Orgulhant,Common,Elephant,Silver & gold,Naturalistic,Proud,Roaring stance,Cosmic,Night sky
4b3d65f2-868b-45c2-8b5f-f1ba2701dbea,Proud Gold Aurora Spectra,Superauraurc,Uncommon,Aurora Spectra,Gold & flame,Gothic,Proud,Roaring stance,Shadow,Void
00b0e814-be06-4c67-bcbb-c9b0cad4344e,Goldwing Energy Pulse,Goldweneulse,Common,Energy Pulse,Gold & brown,Naturalistic,Proud,Roaring stance,Magic,Garden
6002df84-bbf7-49cc-8444-dce6f82fc853,Goldwing Flying Chair,Goldwair,Common,Flying Chair,Gold & flame,Naturalistic,Proud,Roaring stance,Air,Mountain
d8c31035-7c4b-4b46-9d9e-f03101d5e15b,Goldwing Floating Head,Goldwohead,Common,Floating Head,Gold & flame,Naturalistic,Proud,Roaring stance,Lightning,Temple
9b61996f-0fd6-478a-890a-48ba8327c36b,The Aggressive Data Worm,Agresdatworm,Common,Data Worm,Gold & flame,Gothic,Aggressive,Roaring stance,Air,Prism
550a44ce-3741-4a12-92fd-4fa2f071ce9a,Proud Silver Peacock,Fiersilcock,Common,Peacock,Silver & gold,Gothic,Proud,Roaring stance,Lightning,Jungle
d8de1da2-926b-4335-9075-12a79643a0cc,The Proud Dolphin,Orgulphin,Legendary,Dolphin,Silver & gold,Naturalistic,Proud,Roaring stance,Water,Volcano
18dab63f-8779-4588-83d0-2c2a4fdb12ab,Goldwing Octopus,Goldwopus,Common,Octopus,Gold & flame,Gothic,Proud,Roaring stance,Shadow,Riverbank
9da45b99-2aea-467e-80e0-87d867cb9db0,Gold Gothic Chrono Beast,Goldgotchea,Uncommon,Chrono Beast,Gold & brown,Gothic,Proud,Roaring stance,Ice,Sky
8cabdabc-b634-4a16-a0eb-36bce24a055f,Goldwing Glitch Creature,Goldwanoture,Common,Glitch Creature,Gold & brown,Naturalistic,Aggressive,Roaring stance,Nature,Kitchen
855e64a3-e5c3-4722-b3b3-cdc933e4063c,Silver Naturalistic Aurora Spectra,Argnataurct,Rare,Aurora Spectra,Silver & gold,Naturalistic,Aggressive,Roaring stance,Spirit,Prism
8c659e66-3e12-47d2-9168-8cddb4ee288c,Tiger of Gold Naturalistic,Tigergolstic,Common,Tiger,Gold & flame,Naturalistic,Aggressive,Roaring stance,Ice,Kitchen
ebf364ac-14d4-4d9e-a143-a07e89a1b5ae,Silverwing Mecha Wolf,Silvemeclob,Uncommon,Mecha Wolf,Silver & gold,Gothic,Aggressive,Roaring stance,Cosmic,Rift
25cb1a5a-8c1e-4dc6-bd16-44758e0d45ec,The Aggressive Pegasus,Agresasus,Rare,Pegasus,Gold & brown,Naturalistic,Aggressive,Roaring stance,Energy,Nebula
d517c016-e501-4d83-982c-50f7086d0f75,Gold Gothic Dolphin,Orogotphin,Common,Dolphin,Gold & flame,Gothic,Proud,Roaring stance,Gravity,Plateau
e4344e55-f576-4a01-910a-47ca056ed8a6,Goldwing Jellyfish,Goldwish,Common,Jellyfish,Gold & brown,Gothic,Aggressive,Roaring stance,Magic,Cyberspace
4656dad5-ecca-4dae-8206-dd4fd481dbee,Silverwing Fire Dragon,Silvefiragon,Rare,Fire Dragon,Silver & gold,Naturalistic,Proud,Roaring stance,Ice,Ruins
4a71a414-eac5-4093-9eb1-294c55d9cd16,Goldwing Mirror Echo,Goldwirecho,Common,Mirror Echo,Gold & brown,Naturalistic,Aggressive,Roaring stance,Nature,Rift
e911acb5-93e0-4433-a873-3c23d5f23cde,Gold Naturalistic Sound Beast,Oronatsoueas,Common,Sound Beast,Gold & flame,Naturalistic,Aggressive,Roaring stance,Sound,Plateau
4c44f7b3-40be-40ae-9af9-33be35c31408,The Aggressive Ancient Oak,Aggreancoak,Common,Ancient Oak,Silver & gold,Gothic,Aggressive,Roaring stance,Water,Volcano
350e10b3-c5fa-4197-a109-39afc52415cd,Tiger of Gold Gothic,Tigerorothic,Epic,Tiger,Gold & brown,Gothic,Aggressive,Roaring stance,Shadow,Marsh
4afc74e4-63c2-4aa7-9751-acf61af99885,The Proud Frost Phoenix,Superfroenix,Common,Frost Phoenix,Gold & brown,Gothic,Proud,Roaring stance,Code,Core
bb3aa9a3-8667-4e53-a2a8-f571b7cdd2ce,Hawk of Gold Naturalistic,Hawkorostic,Common,Hawk,Gold & brown,Naturalistic,Proud,Roaring stance,Gravity,Temple
9965b434-3447-4198-8ad0-b1b0d047fd03,Silverwing Rhythm Pulse,Silverhyulse,Rare,Rhythm Pulse,Silver & gold,Naturalistic,Aggressive,Roaring stance,Magic,Cliffs
0f20af88-475e-4f26-a476-b976298050f4,Leviathan of Gold Gothic,Leviaorothic,Common,Leviathan,Gold & flame,Gothic,Proud,Roaring stance,Void,Cyberspace
b61f3e2c-15b3-4c60-84f4-378ce03e11d2,Dragonfly of Gold Naturalistic,Dragoaurstic,Common,Dragonfly,Gold & brown,Naturalistic,Proud,Roaring stance,Fire,Cyberspace
3aed3e6e-db77-4717-9101-0b4fb2bd52d7,Aggressive Silver Logic Beast,Agressilloge,Uncommon,Logic Beast,Silver & gold,Naturalistic,Aggressive,Roaring stance,Void,Cave
03e1527a-6f1e-4a64-aaf3-ad0733733212,Proud Gold Rune Sigil,Superaurruni,Common,Rune Sigil,Gold & brown,Naturalistic,Proud,Roaring stance,Fire,Mountain
258dfbcb-64a5-4081-b0d7-f22134a2f29f,Aggressive Gold Fire Dragon,Feroxaurfird,Uncommon,Fire Dragon,Gold & flame,Naturalistic,Aggressive,Roaring stance,Water,Cliffs
e7b2c51a-0e0d-44b4-8c22-669dfdc7b2f2,Gold Naturalistic Storm Child,Goldnatstohi,Common,Storm Child,Gold & brown,Naturalistic,Proud,Roaring stance,Spirit,Reef
a0efb229-be37-4744-b134-c2e9de09c887,Naturalistic Cloud Sprite of Weather,Naturclospr,Common,Cloud Sprite,Gold & flame,Naturalistic,Proud,Roaring stance,Lightning,Prism
c2e53414-52aa-4005-aa6a-5f520be8bb50,Hummingbird of Gold Naturalistic,Hummiaurstic,Common,Hummingbird,Gold & flame,Naturalistic,Aggressive,Roaring stance,Sound,Server room
4bce129d-d00d-451f-a4b6-809c5b70da6a,Aggressive Gold Jellyfish,Agresgolfish,Common,Jellyfish,Gold & flame,Naturalistic,Aggressive,Roaring stance,Cosmic,Nebula
9381c3ed-9d73-4102-b937-c5ec19bec4d6,Fractal Beast of Gold Gothic,Fractbeaorot,Common,Fractal Beast,Gold & brown,Gothic,Proud,Roaring stance,Time,Cyberspace
43f3b38d-8c53-4cc1-a93a-f4f2c7dfdfbf,Flame Phoenix of Gold Gothic,Flamephogolt,Uncommon,Flame Phoenix,Gold & brown,Gothic,Aggressive,Roaring stance,Magic,Deep sea
2211085a-a675-4207-9169-2e666b750d5a,The Aggressive Octopus,Agresopus,Epic,Octopus,Gold & brown,Naturalistic,Aggressive,Roaring stance,Energy,Cliffs
71bda3a6-793f-41ad-8c85-0141640f380c,Naturalistic Asteroid Turtle of Space,Naturastturp,Common,Asteroid Turtle,Gold & flame,Naturalistic,Aggressive,Roaring stance,Cosmic,Tower
827c6e96-3b9f-475c-856d-26bc1c7454a4,Gold Naturalistic Leviathan,Oronatthan,Rare,Leviathan,Gold & brown,Naturalistic,Proud,Roaring stance,Fire,Deep sea
964d1687-c0f9-4ee3-8820-b3a914228a43,The Aggressive Pattern Creature,Agrespatriat,Common,Pattern Creature,Silver & gold,Naturalistic,Aggressive,Roaring stance,Storm,Playground
612663b0-5928-4c83-a5e7-89b2f60363bf,Silverwing Cyber Dragon,Silvecybagon,Common,Cyber Dragon,Silver & gold,Gothic,Proud,Roaring stance,Energy,Ruins
e6b5826e-2d2a-4275-b4c2-72027cfb4bc5,Naturalistic Goo Blob of Blob,Naturgooblob,Common,Goo Blob,Gold & brown,Naturalistic,Proud,Roaring stance,Shadow,Dimension Fold
1bdcaa7a-a8a7-436a-a9e3-8628c17810bb,The Aggressive Thunder Cub,Agresthucub,Uncommon,Thunder Cub,Silver & gold,Gothic,Aggressive,Roaring stance,Light,Chronoscape
cd98e9d7-610a-4833-b0f7-684731f26958,Energy Pulse of Gold Naturalistic,Energpulgols,Rare,Energy Pulse,Gold & brown,Naturalistic,Aggressive,Roaring stance,Electric,Sky
7075cfc9-27c5-41d3-865d-85725e19c195,Goldwing Gravity Whale,Goldwahale,Common,Gravity Whale,Gold & flame,Gothic,Aggressive,Roaring stance,Nature,Sky
5a0bd1ba-1e10-411c-a8c4-cba0aaf6391e,Gothic Parrot of Avian,Gothiparvian,Common,Parrot,Gold & flame,Gothic,Proud,Roaring stance,Void,Cliffs
076c5c07-1c9d-4cca-b75d-11a1f13c3773,Proud Gold Light Radiance,Superaurliga,Common,Light Radiance,Gold & flame,Naturalistic,Proud,Roaring stance,Space,Desert
2ce114a4-d379-4527-89d2-20b27b6b4fc0,Gold Naturalistic Thunder Cub,Oronatthucub,Epic,Thunder Cub,Gold & flame,Naturalistic,Aggressive,Roaring stance,Sound,Marsh
b8d9a276-d232-4174-8101-60d548fc3bd3,Proud Gold Solar Phoenix,Proudgolsole,Common,Solar Phoenix,Gold & brown,Gothic,Proud,Roaring stance,Water,Savannah
08e08dfd-fb48-406c-9251-3c5d4ee4a145,Gothic Rainbow Spectra of Spectra,Gothiraispec,Epic,Rainbow Spectra,Gold & brown,Gothic,Proud,Roaring stance,Sound,Forest
34b13404-32f9-434e-be29-d84c2335d8fb,Naturalistic Thunder Cub of Weather,Naturthucubt,Common,Thunder Cub,Gold & flame,Naturalistic,Proud,Roaring stance,Space,Shrine
d4cb22f7-81cf-4adc-92bb-1e1a411f02d1,Silverwing Algorithm Entity,Silvealgtity,Common,Algorithm Entity,Silver & gold,Gothic,Aggressive,Roaring stance,Water,Marsh
74244e2a-2e4e-4976-9d04-38eee211bd01,Naturalistic Ice Dragon of Dragon,Naturicedraa,Common,Ice Dragon,Silver & gold,Naturalistic,Aggressive,Roaring stance,Void,Rift
4b57a2c3-77da-40d6-b2f5-0d1f8b289dc1,Aggressive Gold Talking Toaster,Agresgoltals,Common,Talking Toaster,Gold & brown,Gothic,Aggressive,Roaring stance,Magic,Savannah
18a1ca70-1a9e-413d-ad10-214bdf209589,The Proud Frost Wisp,Fierfrowisp,Rare,Frost Wisp,Silver & gold,Gothic,Proud,Roaring stance,Nature,Cave
22833d75-7858-4d73-8f35-11bc7b0277e5,Hawk of Silver Gothic,Hawkpathic,Uncommon,Hawk,Silver & gold,Gothic,Proud,Roaring stance,Electric,Nebula
8e3bee03-9b28-4979-9ea6-90279e9c99e7,Proud Silver Meteor Wolf,Proudsilmetw,Common,Meteor Wolf,Silver & gold,Gothic,Proud,Roaring stance,Energy,Chronoscape
d081eac7-b49d-4352-8bf4-2be6261cbc41,Naturalistic Pegasus of Celestial Beast,Naturpegcele,Uncommon,Pegasus,Gold & flame,Naturalistic,Proud,Roaring stance,Earth,Core
c727d6c5-40ee-4d06-914b-1a8edfc36ee0,Gothic Eagle Chimera of Chimera,Gothieagchim,Common,Eagle Chimera,Silver & gold,Gothic,Aggressive,Roaring stance,Time,Toybox
951cb449-d058-4b46-96bb-1f79c092e62f,Gold Gothic Shifting Spectra,Orogotshictr,Uncommon,Shifting Spectra,Gold & flame,Gothic,Proud,Roaring stance,Storm,Volcano
c96e2a6e-a80e-443c-b3b1-c4f2a4ab002f,Neural Network of Gold Naturalistic,Neurresgolst,Common,Neural Network,Gold & brown,Naturalistic,Aggressive,Roaring stance,Earth,Sacred Grove
e6afc17d-8436-4ac4-94d0-779c8f2348dc,The Aggressive Mystic Sigil,Aggremysigil,Common,Mystic Sigil,Gold & brown,Naturalistic,Aggressive,Roaring stance,Nature,Void
66719752-e4dc-4e14-8109-dba35dcfb0ed,Proud Gold Echo Orb,Fiergolechor,Common,Echo Orb,Gold & brown,Naturalistic,Proud,Roaring stance,Gravity,Core
c5d988aa-8bb9-4fcf-a7d1-415d92117ea4,Proud Silver Nebula Serpent,Proudsilnebp,Common,Nebula Serpent,Silver & gold,Naturalistic,Proud,Roaring stance,Cosmic,Toybox
d569f6e7-83b6-49af-8ee0-aa95aa663021,Data Worm of Silver Naturalistic,Dataworsilst,Common,Data Worm,Silver & gold,Naturalistic,Proud,Roaring stance,Light,Night sky
6da27ff9-aa9d-4e13-bb91-59fed7272724,Aggressive Silver Bendy Dog,Agressilbend,Epic,Bendy Dog,Silver & gold,Naturalistic,Aggressive,Roaring stance,Fire,Mountain
89d64977-47cd-48f5-8983-16a7bff2e913,Proud Gold Neural Network,Orguloroneur,Rare,Neural Network,Gold & brown,Naturalistic,Proud,Roaring stance,Gravity,Tower
3b99a9c7-02e6-4ee9-b852-67b5f5202b45,Goldwing Treefolk,Goldwolk,Common,Treefolk,Gold & brown,Naturalistic,Aggressive,Roaring stance,Earth,Cave
c35528ca-adce-4543-93be-f59f81e6c59d,Silverwing Stretchy Snake,Silvestrake,Epic,Stretchy Snake,Silver & gold,Gothic,Aggressive,Roaring stance,Cosmic,Garden
1ebe9cec-cf71-4c41-85a6-9d5fc0251431,The Proud Qilin,Fieroilin,Common,Qilin,Gold & flame,Naturalistic,Proud,Roaring stance,Electric,Volcano
4524f220-3a0a-4737-9f38-d586312305e5,Silverwing Flame Phoenix,Silveflaenix,Common,Flame Phoenix,Silver & gold,Naturalistic,Aggressive,Roaring stance,Storm,Cyberspace
f6b29f50-1cf1-4b02-8e7d-ee830a998378,The Proud Eagle,Fieroagle,Common,Eagle,Gold & brown,Gothic,Proud,Roaring stance,Cosmic,Chamber
896039a7-c0e5-4af4-a7d6-db063e7f8425,Silver Naturalistic Tiger,Argnatiger,Uncommon,Tiger,Silver & gold,Naturalistic,Proud,Roaring stance,Sound,Nebula
d27c74f0-3595-4a17-b4a2-41fd39b2a475,Shark of Gold Gothic,Sharkorothic,Common,Shark,Gold & brown,Gothic,Proud,Roaring stance,Water,Temple
99e78fea-0780-446a-8659-eaffe757faeb,The Aggressive Unicorn,Agrescorn,Common,Unicorn,Gold & brown,Naturalistic,Aggressive,Roaring stance,Air,Marsh
0c911f02-5077-49b6-9090-a0d00e179881,Gold Gothic Ancient Oak,Orogotancoak,Uncommon,Ancient Oak,Gold & flame,Gothic,Aggressive,Roaring stance,Energy,Garden
8779a57a-28e1-48ad-837b-f22b668159c9,Aggressive Silver Leviathan,Aggreargtan,Uncommon,Leviathan,Silver & gold,Gothic,Aggressive,Roaring stance,Water,Core
a9744bbd-d075-4a9c-b49d-068591cc8171,Goldwing Nebula Serpent,Goldwebpent,Common,Nebula Serpent,Gold & brown,Naturalistic,Proud,Roaring stance,Shadow,Sky
951daa23-eafe-4f03-a6cc-5f7cd1026bc7,Gothic Floating Head of Abstract,Gothiflohear,Uncommon,Floating Head,Gold & brown,Gothic,Aggressive,Roaring stance,Storm,Plateau
fcfa75c7-5839-425b-a1e6-0e83a0ff2601,Goldwing Dimensional Shadow,Goldwimadow,Common,Dimensional Shadow,Gold & brown,Naturalistic,Aggressive,Roaring stance,Electric,Temple
f9ca4396-0ec6-44f1-a63c-0ab213b6bd25,Silver Gothic Ancient Sigil,Argengotanci,Rare,Ancient Sigil,Silver & gold,Gothic,Proud,Roaring stance,Electric,Jungle
294000e1-173a-48db-8902-03f6a261fd5a,Gold Gothic Owl,Aurgotowl,Uncommon,Owl,Gold & brown,Gothic,Proud,Roaring stance,Ice,Arcade
ae0d2923-862c-4fb1-84f6-4f88b8440daa,Seahorse of Gold Naturalistic,Seahoorostic,Uncommon,Seahorse,Gold & brown,Naturalistic,Proud,Roaring stance,Magic,Server room
1f1695c1-6a65-4343-a4f1-dda9aa8d8074,Silver Gothic Eagle,Argengotagle,Uncommon,Eagle,Silver & gold,Gothic,Aggressive,Roaring stance,Code,Plateau
4d5e46fa-3541-4727-8f16-99ed257953ba,Gold Gothic Cube Beast,Goldgotcubea,Common,Cube Beast,Gold & brown,Gothic,Proud,Roaring stance,Time,Sacred Grove
4ca4449a-c177-4769-96bc-1dce931de859,Fox of Silver Gothic,Foxsilthic,Common,Fox,Silver & gold,Gothic,Proud,Roaring stance,Nature,Kitchen
ef47e7b8-36b9-4c53-951f-96c2a53af1d4,The Aggressive Storm Dragon,Feroxstodrac,Common,Storm Dragon,Gold & flame,Gothic,Aggressive,Roaring stance,Space,Volcano
2d32c5fd-d6b3-46f0-bfe9-7e8962e66a9f,The Proud Phase Shifter,Orgulphafter,Epic,Phase Shifter,Gold & brown,Naturalistic,Proud,Roaring stance,Fire,Riverbank
986c91e1-838a-4571-b2f5-029312e2ac50,The Aggressive Time Phantom,Feroxtimntom,Common,Time Phantom,Silver & gold,Gothic,Aggressive,Roaring stance,Water,Ocean
eb0757f4-c976-4f31-af66-dd02daf68413,Aggressive Gold Starcloud Dragon,Feroxaurstad,Rare,Starcloud Dragon,Gold & brown,Gothic,Aggressive,Roaring stance,Void,Core
9063a028-9f5b-46ac-b265-73eedecebdcc,The Proud Lion,Superleo,Common,Lion,Gold & brown,Gothic,Proud,Roaring stance,Light,Cliffs
aebfe733-f277-41fb-9ede-32b90fb4b34f,Aggressive Gold Comet Fox,Feroxaurcomv,Common,Comet Fox,Gold & brown,Gothic,Aggressive,Roaring stance,Gravity,Prism
76ae746e-a3e1-48c7-8b76-fed5bcbfd76f,Silverwing Storm Child,Silvestohild,Common,Storm Child,Silver & gold,Naturalistic,Proud,Roaring stance,Light,Void
8b5a9498-266c-498b-976a-cd870c9ac2c4,Naturalistic Mirror Echo of Echo,Naturmireche,Common,Mirror Echo,Silver & gold,Naturalistic,Proud,Roaring stance,Cosmic,Sky
6d7d5b75-c28d-4596-a0d6-6ef7d2ecc740,Aggressive Silver Hydra,Feroxargya,Common,Hydra,Silver & gold,Gothic,Aggressive,Roaring stance,Cosmic,Volcano
f1dbda0e-ef62-494a-8f07-43772c101ef0,Aggressive Silver Shark,Agresplahark,Common,Shark,Silver & gold,Gothic,Aggressive,Roaring stance,Cosmic,Terminal
93cae47c-0b4d-4748-ba4f-e6648aad93c0,The Proud Lion Chimera,Proudliomera,Common,Lion Chimera,Gold & flame,Gothic,Proud,Roaring stance,Gravity,Void
ab1dc916-2ff2-4eae-9246-5f2f01c6c67c,Falcon of Gold Naturalistic,Falcoaurstic,Common,Falcon,Gold & flame,Naturalistic,Proud,Roaring stance,Energy,Plateau
08aab998-32ac-421e-9d5c-878eda45b1ad,Proud Gold Willow Spirit,Superaurwili,Common,Willow Spirit,Gold & brown,Gothic,Proud,Roaring stance,Ice,Shrine
54aa09d2-347a-45a6-9436-8a1334bb7bd1,Naturalistic Bee of Insect,Naturbeesect,Common,Bee,Gold & brown,Naturalistic,Proud,Roaring stance,Storm,Void
7db3385e-6128-4e29-8deb-2937eb4a30d3,The Aggressive Temporal Shadow,Aggretemadow,Common,Temporal Shadow,Gold & flame,Naturalistic,Aggressive,Roaring stance,Code,Core
83550483-819b-40b5-92ef-94e4c521511e,Turtle of Gold Gothic,Turtlorothic,Common,Turtle,Gold & flame,Gothic,Aggressive,Roaring stance,Electric,Server room
dcf2b054-aae7-4d4f-97e0-b0737fcfc192,Aggressive Gold Pixel Pet,Aggreoropixa,Uncommon,Pixel Pet,Gold & flame,Naturalistic,Aggressive,Roaring stance,Code,Tower
ae3fc82c-8796-4b73-bdfc-e1dc4db30769,The Proud Elastic Cat,Superelacat,Common,Elastic Cat,Gold & flame,Gothic,Proud,Roaring stance,Void,Shrine
6a17456b-5f61-497c-bafa-6e7a0bec4b15,Ancient Oak of Silver Gothic,Ancieoaksilt,Common,Ancient Oak,Silver & gold,Gothic,Proud,Roaring stance,Earth,Temple
dd93d046-9889-437b-bd67-bfc25ccf83a7,The Aggressive Rainbow Spectra,Aggreraictra,Common,Rainbow Spectra,Gold & flame,Naturalistic,Aggressive,Roaring stance,Cosmic,Mountain
6cb2b504-7002-494d-a923-0e22a59c1e7b,Naturalistic Bat of Mammal,Naturbatmmal,Common,Bat,Silver & gold,Naturalistic,Proud,Roaring stance,Light,Jungle
2799d4e7-e202-4de4-8305-a00a400b8f1f,The Aggressive Sound Beast,Aggresoueast,Uncommon,Sound Beast,Gold & brown,Naturalistic,Aggressive,Roaring stance,Nature,Ocean
acceb328-d7f1-4004-85e0-3dfb831aa45e,Gold Gothic Turtle,Aurgotrte,Uncommon,Turtle,Gold & brown,Gothic,Proud,Roaring stance,Ice,Reef
a0d43328-2184-458e-a1e3-f3a468768ce6,Golden Radiance of Silver Naturalistic,Golderadplas,Uncommon,Golden Radiance,Silver & gold,Naturalistic,Aggressive,Roaring stance,Shadow,Core
bccaf833-8a80-480f-a7ae-c0a0eeaacbb6,Aggressive Silver Fire Dragon,Feroxargfird,Rare,Fire Dragon,Silver & gold,Gothic,Aggressive,Roaring stance,Sound,Reef
a18f2a25-ef23-4848-ba80-bc7c6477086c,Shifting Spectra of Silver Gothic,Shiftsesilt,Common,Shifting Spectra,Silver & gold,Gothic,Aggressive,Roaring stance,Code,Toybox
1baba81d-d069-422f-89e5-3bc7e39bd4db,The Aggressive Floating Head,Agresflohead,Common,Floating Head,Gold & flame,Naturalistic,Aggressive,Roaring stance,Time,Volcano
2b747b8a-af05-434f-b914-ad4d6f1c4818,Gothic Pyramid Pet of Geometric,Gothipyrict,Common,Pyramid Pet,Gold & flame,Gothic,Proud,Roaring stance,Shadow,Chronoscape
b24e709a-fe4b-47ba-88fe-3a410c884225,The Aggressive Bug Monster,Agresbugster,Common,Bug Monster,Gold & brown,Naturalistic,Aggressive,Roaring stance,Energy,Temple
6a47d75a-46e9-4937-b052-a329027df35b,The Proud Mirror Echo,Fieromirecho,Uncommon,Mirror Echo,Gold & brown,Naturalistic,Proud,Roaring stance,Shadow,Chamber
29b516f2-6354-42ee-a224-7541635e7b0d,Floating Head of Gold Naturalistic,Floatheaoros,Common,Floating Head,Gold & brown,Naturalistic,Aggressive,Roaring stance,Air,Garden
afc16186-e006-4214-86a9-5db7201ddc38,Proud Gold Shifting Spectra,Fiergolshict,Common,Shifting Spectra,Gold & flame,Naturalistic,Proud,Roaring stance,Air,Plateau
a9c62a3f-087e-46b5-bba4-72238f6452d9,Aggressive Gold Blob Critter,Aggreoroblot,Common,Blob Critter,Gold & flame,Naturalistic,Aggressive,Roaring stance,Light,Reef
cfc05d74-2629-4dd9-a45e-82d45cb1fb94,The Aggressive Stretchy Snake,Agresstake,Rare,Stretchy Snake,Gold & brown,Naturalistic,Aggressive,Roaring stance,Earth,Skyscraper
6d106d29-a2cf-43a3-a755-11fec1a55e6e,Naturalistic Code Spider of Code,Naturcodspic,Uncommon,Code Spider,Gold & brown,Naturalistic,Aggressive,Roaring stance,Lightning,Jungle
47ac3552-f5e6-4e95-9f84-11d282171a3b,Gothic Talking Toaster of Object,Gothitaltoaj,Uncommon,Talking Toaster,Gold & brown,Gothic,Proud,Roaring stance,Sound,Night sky
1fb74ec1-4a9e-400f-a282-88c4cc3dc019,Aggressive Gold Rune Sigil,Agresgolruni,Common,Rune Sigil,Gold & brown,Naturalistic,Aggressive,Roaring stance,Air,Glade
5135f9ed-bb4c-4302-9921-7e9451b264ff,Eagle Chimera of Gold Naturalistic,Eaglechigols,Uncommon,Eagle Chimera,Gold & brown,Naturalistic,Proud,Roaring stance,Spirit,Ocean
685ec959-d9ed-4be8-bec9-1e183417b172,Silver Gothic Ancient Dragon,Arggotancda,Common,Ancient Dragon,Silver & gold,Gothic,Proud,Roaring stance,Nature,Garden
0f38a625-c15e-499c-9efa-cd7dfde6e770,Proud Silver Elephant,Orgulplahant,Uncommon,Elephant,Silver & gold,Gothic,Proud,Roaring stance,Air,Ocean
349cd4be-b21b-42e6-bda5-74b3fdf46045,The Proud Void Leviathan,Supervoithan,Common,Void Leviathan,Gold & brown,Naturalistic,Proud,Roaring stance,Magic,Lagoon
27ec4469-0f1f-4fb3-a7b2-935d882eb5b9,Elephant of Silver Naturalistic,Elephsilstic,Uncommon,Elephant,Silver & gold,Naturalistic,Aggressive,Roaring stance,Fire,Savannah
