id,creature_name,category,species,subspecies,colouring,style,mood,motion_type,elemental_affinity,environment
38,Goldwing Elephant,Real,Mammal,Elephant,Gold & flame,Gothic,Proud,Slow prowl,Code,Core
39,Aggressive Gold Elephant,Real,Mammal,Elephant,Gold & flame,Gothic,Aggressive,Roaring stance,Electric,Prism
40,Aggressive Gold Elephant,Real,Mammal,Elephant,Gold & flame,Gothic,Aggressive,Slow prowl,Gravity,Archive
41,The Proud Elephant,Real,Mammal,Elephant,Silver & gold,Naturalistic,Proud,Roaring stance,Cosmic,Night sky
42,The Proud Elephant,Real,Mammal,Elephant,Silver & gold,Naturalistic,Proud,Slow prowl,Earth,Horizon
43,Elephant of Silver Naturalistic,Real,Mammal,Elephant,Silver & gold,Naturalistic,Aggressive,Roaring stance,Fire,Savannah
44,Elephant of Silver Naturalistic,Real,Mammal,Elephant,Silver & gold,Naturalistic,Aggressive,Slow prowl,Water,Forest
45,Proud Silver Elephant,Real,Mammal,Elephant,Silver & gold,Gothic,Proud,Roaring stance,Air,Ocean
46,Proud Silver Elephant,Real,Mammal,Elephant,Silver & gold,Gothic,Proud,Slow prowl,Shadow,Jungle
47,The Aggressive Elephant,Real,Mammal,Elephant,Silver & gold,Gothic,Aggressive,Roaring stance,Light,Desert
48,The Aggressive Elephant,Real,Mammal,Elephant,Silver & gold,Gothic,Aggressive,Slow prowl,Nature,Cliffs
49,Proud Gold Fox,Real,Mammal,Fox,Gold & brown,Naturalistic,Proud,Roaring stance,Storm,Garden
50,Proud Gold Fox,Real,Mammal,Fox,Gold & brown,Naturalistic,Proud,Slow prowl,Ice,Mountain
51,Gold Naturalistic Fox,Real,Mammal,Fox,Gold & brown,Naturalistic,Aggressive,Roaring stance,Lightning,Sky
52,Gold Naturalistic Fox,Real,Mammal,Fox,Gold & brown,Naturalistic,Aggressive,Slow prowl,Spirit,Glade
53,Proud Gold Fox,Real,Mammal,Fox,Gold & brown,Gothic,Proud,Roaring stance,Time,Plateau
54,Proud Gold Fox,Real,Mammal,Fox,Gold & brown,Gothic,Proud,Slow prowl,Space,Ruins
55,Fox of Gold Gothic,Real,Mammal,Fox,Gold & brown,Gothic,Aggressive,Roaring stance,Void,Temple
56,Fox of Gold Gothic,Real,Mammal,Fox,Gold & brown,Gothic,Aggressive,Slow prowl,Sound,Cave
57,The Proud Fox,Real,Mammal,Fox,Gold & flame,Naturalistic,Proud,Roaring stance,Energy,Volcano
58,The Proud Fox,Real,Mammal,Fox,Gold & flame,Naturalistic,Proud,Slow prowl,Magic,Riverbank
59,Goldwing Fox,Real,Mammal,Fox,Gold & flame,Naturalistic,Aggressive,Roaring stance,Code,Deep sea
60,Goldwing Fox,Real,Mammal,Fox,Gold & flame,Naturalistic,Aggressive,Slow prowl,Electric,Reef
61,Fox of Gold Gothic,Real,Mammal,Fox,Gold & flame,Gothic,Proud,Roaring stance,Gravity,Lagoon
62,Fox of Gold Gothic,Real,Mammal,Fox,Gold & flame,Gothic,Proud,Slow prowl,Cosmic,Tower
63,Gothic Fox of Mammal,Real,Mammal,Fox,Gold & flame,Gothic,Aggressive,Roaring stance,Earth,Shrine
64,Gothic Fox of Mammal,Real,Mammal,Fox,Gold & flame,Gothic,Aggressive,Slow prowl,Fire,Sacred Grove
65,Proud Silver Fox,Real,Mammal,Fox,Silver & gold,Naturalistic,Proud,Roaring stance,Water,Marsh
66,Proud Silver Fox,Real,Mammal,Fox,Silver & gold,Naturalistic,Proud,Slow prowl,Air,Playground
67,Naturalistic Fox of Mammal,Real,Mammal,Fox,Silver & gold,Naturalistic,Aggressive,Roaring stance,Shadow,Toybox
68,Naturalistic Fox of Mammal,Real,Mammal,Fox,Silver & gold,Naturalistic,Aggressive,Slow prowl,Light,Arcade
69,Fox of Silver Gothic,Real,Mammal,Fox,Silver & gold,Gothic,Proud,Roaring stance,Nature,Kitchen
70,Fox of Silver Gothic,Real,Mammal,Fox,Silver & gold,Gothic,Proud,Slow prowl,Storm,Server room
71,Silver Gothic Fox,Real,Mammal,Fox,Silver & gold,Gothic,Aggressive,Roaring stance,Ice,Cyberspace
72,Silver Gothic Fox,Real,Mammal,Fox,Silver & gold,Gothic,Aggressive,Slow prowl,Lightning,Skyscraper
73,Goldwing Bat,Real,Mammal,Bat,Gold & brown,Naturalistic,Proud,Roaring stance,Spirit,Terminal
74,Goldwing Bat,Real,Mammal,Bat,Gold & brown,Naturalistic,Proud,Slow prowl,Time,Grove
75,The Aggressive Bat,Real,Mammal,Bat,Gold & brown,Naturalistic,Aggressive,Roaring stance,Space,Nebula
76,The Aggressive Bat,Real,Mammal,Bat,Gold & brown,Naturalistic,Aggressive,Slow prowl,Void,Void
77,Gold Gothic Bat,Real,Mammal,Bat,Gold & brown,Gothic,Proud,Roaring stance,Sound,Chronoscape
78,Gold Gothic Bat,Real,Mammal,Bat,Gold & brown,Gothic,Proud,Slow prowl,Energy,Chamber
79,Aggressive Gold Bat,Real,Mammal,Bat,Gold & brown,Gothic,Aggressive,Roaring stance,Magic,Dimension Fold
80,Aggressive Gold Bat,Real,Mammal,Bat,Gold & brown,Gothic,Aggressive,Slow prowl,Code,Rift
81,Gold Naturalistic Bat,Real,Mammal,Bat,Gold & flame,Naturalistic,Proud,Roaring stance,Electric,Core
82,Gold Naturalistic Bat,Real,Mammal,Bat,Gold & flame,Naturalistic,Proud,Slow prowl,Gravity,Prism
83,Gold Naturalistic Bat,Real,Mammal,Bat,Gold & flame,Naturalistic,Aggressive,Roaring stance,Cosmic,Archive
84,Gold Naturalistic Bat,Real,Mammal,Bat,Gold & flame,Naturalistic,Aggressive,Slow prowl,Earth,Night sky
85,Goldwing Bat,Real,Mammal,Bat,Gold & flame,Gothic,Proud,Roaring stance,Fire,Horizon
86,Goldwing Bat,Real,Mammal,Bat,Gold & flame,Gothic,Proud,Slow prowl,Water,Savannah
87,Gothic Bat of Mammal,Real,Mammal,Bat,Gold & flame,Gothic,Aggressive,Roaring stance,Air,Forest
88,Gothic Bat of Mammal,Real,Mammal,Bat,Gold & flame,Gothic,Aggressive,Slow prowl,Shadow,Ocean
89,Naturalistic Bat of Mammal,Real,Mammal,Bat,Silver & gold,Naturalistic,Proud,Roaring stance,Light,Jungle
90,Naturalistic Bat of Mammal,Real,Mammal,Bat,Silver & gold,Naturalistic,Proud,Slow prowl,Nature,Desert
91,The Aggressive Bat,Real,Mammal,Bat,Silver & gold,Naturalistic,Aggressive,Roaring stance,Storm,Cliffs
92,The Aggressive Bat,Real,Mammal,Bat,Silver & gold,Naturalistic,Aggressive,Slow prowl,Ice,Garden
93,Proud Silver Bat,Real,Mammal,Bat,Silver & gold,Gothic,Proud,Roaring stance,Lightning,Mountain
94,Proud Silver Bat,Real,Mammal,Bat,Silver & gold,Gothic,Proud,Slow prowl,Spirit,Sky
95,Gothic Bat of Mammal,Real,Mammal,Bat,Silver & gold,Gothic,Aggressive,Roaring stance,Time,Glade
96,Gothic Bat of Mammal,Real,Mammal,Bat,Silver & gold,Gothic,Aggressive,Slow prowl,Space,Plateau
97,Proud Gold Wolf,Real,Mammal,Wolf,Gold & brown,Naturalistic,Proud,Roaring stance,Void,Ruins
98,Proud Gold Wolf,Real,Mammal,Wolf,Gold & brown,Naturalistic,Proud,Slow prowl,Sound,Temple
99,Aggressive Gold Wolf,Real,Mammal,Wolf,Gold & brown,Naturalistic,Aggressive,Roaring stance,Energy,Cave
100,Aggressive Gold Wolf,Real,Mammal,Wolf,Gold & brown,Naturalistic,Aggressive,Slow prowl,Magic,Volcano
101,Proud Gold Wolf,Real,Mammal,Wolf,Gold & brown,Gothic,Proud,Roaring stance,Code,Riverbank
102,Proud Gold Wolf,Real,Mammal,Wolf,Gold & brown,Gothic,Proud,Slow prowl,Electric,Deep sea
103,The Aggressive Wolf,Real,Mammal,Wolf,Gold & brown,Gothic,Aggressive,Roaring stance,Gravity,Reef
104,The Aggressive Wolf,Real,Mammal,Wolf,Gold & brown,Gothic,Aggressive,Slow prowl,Cosmic,Lagoon
105,Wolf of Gold Naturalistic,Real,Mammal,Wolf,Gold & flame,Naturalistic,Proud,Roaring stance,Earth,Tower
106,Wolf of Gold Naturalistic,Real,Mammal,Wolf,Gold & flame,Naturalistic,Proud,Slow prowl,Fire,Shrine
107,Aggressive Gold Wolf,Real,Mammal,Wolf,Gold & flame,Naturalistic,Aggressive,Roaring stance,Water,Sacred Grove
108,Aggressive Gold Wolf,Real,Mammal,Wolf,Gold & flame,Naturalistic,Aggressive,Slow prowl,Air,Marsh
109,Wolf of Gold Gothic,Real,Mammal,Wolf,Gold & flame,Gothic,Proud,Roaring stance,Shadow,Playground
110,Wolf of Gold Gothic,Real,Mammal,Wolf,Gold & flame,Gothic,Proud,Slow prowl,Light,Toybox
111,Gold Gothic Wolf,Real,Mammal,Wolf,Gold & flame,Gothic,Aggressive,Roaring stance,Nature,Arcade
112,Gold Gothic Wolf,Real,Mammal,Wolf,Gold & flame,Gothic,Aggressive,Slow prowl,Storm,Kitchen
113,Wolf of Silver Naturalistic,Real,Mammal,Wolf,Silver & gold,Naturalistic,Proud,Roaring stance,Ice,Server room
114,Wolf of Silver Naturalistic,Real,Mammal,Wolf,Silver & gold,Naturalistic,Proud,Slow prowl,Lightning,Cyberspace
115,Silverwing Wolf,Real,Mammal,Wolf,Silver & gold,Naturalistic,Aggressive,Roaring stance,Spirit,Skyscraper
116,Silverwing Wolf,Real,Mammal,Wolf,Silver & gold,Naturalistic,Aggressive,Slow prowl,Time,Terminal
117,Gothic Wolf of Mammal,Real,Mammal,Wolf,Silver & gold,Gothic,Proud,Roaring stance,Space,Grove
118,Gothic Wolf of Mammal,Real,Mammal,Wolf,Silver & gold,Gothic,Proud,Slow prowl,Void,Nebula
119,Silverwing Wolf,Real,Mammal,Wolf,Silver & gold,Gothic,Aggressive,Roaring stance,Sound,Void
120,Silverwing Wolf,Real,Mammal,Wolf,Silver & gold,Gothic,Aggressive,Slow prowl,Energy,Chronoscape
121,Gold Naturalistic Bear,Real,Mammal,Bear,Gold & brown,Naturalistic,Proud,Roaring stance,Magic,Chamber
122,Gold Naturalistic Bear,Real,Mammal,Bear,Gold & brown,Naturalistic,Proud,Slow prowl,Code,Dimension Fold
123,Bear of Gold Naturalistic,Real,Mammal,Bear,Gold & brown,Naturalistic,Aggressive,Roaring stance,Electric,Rift
124,Bear of Gold Naturalistic,Real,Mammal,Bear,Gold & brown,Naturalistic,Aggressive,Slow prowl,Gravity,Core
125,Gold Gothic Bear,Real,Mammal,Bear,Gold & brown,Gothic,Proud,Roaring stance,Cosmic,Prism
126,Gold Gothic Bear,Real,Mammal,Bear,Gold & brown,Gothic,Proud,Slow prowl,Earth,Archive
127,Gothic Bear of Mammal,Real,Mammal,Bear,Gold & brown,Gothic,Aggressive,Roaring stance,Fire,Night sky
128,Gothic Bear of Mammal,Real,Mammal,Bear,Gold & brown,Gothic,Aggressive,Slow prowl,Water,Horizon
129,Gold Naturalistic Bear,Real,Mammal,Bear,Gold & flame,Naturalistic,Proud,Roaring stance,Air,Savannah
130,Gold Naturalistic Bear,Real,Mammal,Bear,Gold & flame,Naturalistic,Proud,Slow prowl,Shadow,Forest
131,The Aggressive Bear,Real,Mammal,Bear,Gold & flame,Naturalistic,Aggressive,Roaring stance,Light,Ocean
132,The Aggressive Bear,Real,Mammal,Bear,Gold & flame,Naturalistic,Aggressive,Slow prowl,Nature,Jungle
133,Proud Gold Bear,Real,Mammal,Bear,Gold & flame,Gothic,Proud,Roaring stance,Storm,Desert
134,Proud Gold Bear,Real,Mammal,Bear,Gold & flame,Gothic,Proud,Slow prowl,Ice,Cliffs
135,Gothic Bear of Mammal,Real,Mammal,Bear,Gold & flame,Gothic,Aggressive,Roaring stance,Lightning,Garden
136,Gothic Bear of Mammal,Real,Mammal,Bear,Gold & flame,Gothic,Aggressive,Slow prowl,Spirit,Mountain
137,Silverwing Bear,Real,Mammal,Bear,Silver & gold,Naturalistic,Proud,Roaring stance,Time,Sky
138,Silverwing Bear,Real,Mammal,Bear,Silver & gold,Naturalistic,Proud,Slow prowl,Space,Glade
139,The Aggressive Bear,Real,Mammal,Bear,Silver & gold,Naturalistic,Aggressive,Roaring stance,Void,Plateau
140,The Aggressive Bear,Real,Mammal,Bear,Silver & gold,Naturalistic,Aggressive,Slow prowl,Sound,Ruins
141,Gothic Bear of Mammal,Real,Mammal,Bear,Silver & gold,Gothic,Proud,Roaring stance,Energy,Temple
142,Gothic Bear of Mammal,Real,Mammal,Bear,Silver & gold,Gothic,Proud,Slow prowl,Magic,Cave
143,Gothic Bear of Mammal,Real,Mammal,Bear,Silver & gold,Gothic,Aggressive,Roaring stance,Code,Volcano
144,Gothic Bear of Mammal,Real,Mammal,Bear,Silver & gold,Gothic,Aggressive,Slow prowl,Electric,Riverbank
145,Naturalistic Tiger of Mammal,Real,Mammal,Tiger,Gold & brown,Naturalistic,Proud,Roaring stance,Gravity,Deep sea
146,Naturalistic Tiger of Mammal,Real,Mammal,Tiger,Gold & brown,Naturalistic,Proud,Slow prowl,Cosmic,Reef
147,Aggressive Gold Tiger,Real,Mammal,Tiger,Gold & brown,Naturalistic,Aggressive,Roaring stance,Earth,Lagoon
148,Aggressive Gold Tiger,Real,Mammal,Tiger,Gold & brown,Naturalistic,Aggressive,Slow prowl,Fire,Tower
149,The Proud Tiger,Real,Mammal,Tiger,Gold & brown,Gothic,Proud,Roaring stance,Water,Shrine
150,The Proud Tiger,Real,Mammal,Tiger,Gold & brown,Gothic,Proud,Slow prowl,Air,Sacred Grove
151,Tiger of Gold Gothic,Real,Mammal,Tiger,Gold & brown,Gothic,Aggressive,Roaring stance,Shadow,Marsh
152,Tiger of Gold Gothic,Real,Mammal,Tiger,Gold & brown,Gothic,Aggressive,Slow prowl,Light,Playground
153,Proud Gold Tiger,Real,Mammal,Tiger,Gold & flame,Naturalistic,Proud,Roaring stance,Nature,Toybox
154,Proud Gold Tiger,Real,Mammal,Tiger,Gold & flame,Naturalistic,Proud,Slow prowl,Storm,Arcade
155,Tiger of Gold Naturalistic,Real,Mammal,Tiger,Gold & flame,Naturalistic,Aggressive,Roaring stance,Ice,Kitchen
156,Tiger of Gold Naturalistic,Real,Mammal,Tiger,Gold & flame,Naturalistic,Aggressive,Slow prowl,Lightning,Server room
157,The Proud Tiger,Real,Mammal,Tiger,Gold & flame,Gothic,Proud,Roaring stance,Spirit,Cyberspace
158,The Proud Tiger,Real,Mammal,Tiger,Gold & flame,Gothic,Proud,Slow prowl,Time,Skyscraper
159,Gothic Tiger of Mammal,Real,Mammal,Tiger,Gold & flame,Gothic,Aggressive,Roaring stance,Space,Terminal
160,Gothic Tiger of Mammal,Real,Mammal,Tiger,Gold & flame,Gothic,Aggressive,Slow prowl,Void,Grove
161,Silver Naturalistic Tiger,Real,Mammal,Tiger,Silver & gold,Naturalistic,Proud,Roaring stance,Sound,Nebula
162,Silver Naturalistic Tiger,Real,Mammal,Tiger,Silver & gold,Naturalistic,Proud,Slow prowl,Energy,Void
163,Naturalistic Tiger of Mammal,Real,Mammal,Tiger,Silver & gold,Naturalistic,Aggressive,Roaring stance,Magic,Chronoscape
164,Naturalistic Tiger of Mammal,Real,Mammal,Tiger,Silver & gold,Naturalistic,Aggressive,Slow prowl,Code,Chamber
165,Proud Silver Tiger,Real,Mammal,Tiger,Silver & gold,Gothic,Proud,Roaring stance,Electric,Dimension Fold
166,Proud Silver Tiger,Real,Mammal,Tiger,Silver & gold,Gothic,Proud,Slow prowl,Gravity,Rift
167,Gothic Tiger of Mammal,Real,Mammal,Tiger,Silver & gold,Gothic,Aggressive,Roaring stance,Cosmic,Core
168,Gothic Tiger of Mammal,Real,Mammal,Tiger,Silver & gold,Gothic,Aggressive,Slow prowl,Earth,Prism
169,Gold Naturalistic Leopard,Real,Mammal,Leopard,Gold & brown,Naturalistic,Proud,Roaring stance,Fire,Archive
170,Gold Naturalistic Leopard,Real,Mammal,Leopard,Gold & brown,Naturalistic,Proud,Slow prowl,Water,Night sky
171,Aggressive Gold Leopard,Real,Mammal,Leopard,Gold & brown,Naturalistic,Aggressive,Roaring stance,Air,Horizon
172,Aggressive Gold Leopard,Real,Mammal,Leopard,Gold & brown,Naturalistic,Aggressive,Slow prowl,Shadow,Savannah
173,Proud Gold Leopard,Real,Mammal,Leopard,Gold & brown,Gothic,Proud,Roaring stance,Light,Forest
174,Proud Gold Leopard,Real,Mammal,Leopard,Gold & brown,Gothic,Proud,Slow prowl,Nature,Ocean
175,Aggressive Gold Leopard,Real,Mammal,Leopard,Gold & brown,Gothic,Aggressive,Roaring stance,Storm,Jungle
176,Aggressive Gold Leopard,Real,Mammal,Leopard,Gold & brown,Gothic,Aggressive,Slow prowl,Ice,Desert
177,Goldwing Leopard,Real,Mammal,Leopard,Gold & flame,Naturalistic,Proud,Roaring stance,Lightning,Cliffs
178,Goldwing Leopard,Real,Mammal,Leopard,Gold & flame,Naturalistic,Proud,Slow prowl,Spirit,Garden
179,Gold Naturalistic Leopard,Real,Mammal,Leopard,Gold & flame,Naturalistic,Aggressive,Roaring stance,Time,Mountain
180,Gold Naturalistic Leopard,Real,Mammal,Leopard,Gold & flame,Naturalistic,Aggressive,Slow prowl,Space,Sky
181,Leopard of Gold Gothic,Real,Mammal,Leopard,Gold & flame,Gothic,Proud,Roaring stance,Void,Glade
182,Leopard of Gold Gothic,Real,Mammal,Leopard,Gold & flame,Gothic,Proud,Slow prowl,Sound,Plateau
183,Leopard of Gold Gothic,Real,Mammal,Leopard,Gold & flame,Gothic,Aggressive,Roaring stance,Energy,Ruins
184,Leopard of Gold Gothic,Real,Mammal,Leopard,Gold & flame,Gothic,Aggressive,Slow prowl,Magic,Temple
185,Leopard of Silver Naturalistic,Real,Mammal,Leopard,Silver & gold,Naturalistic,Proud,Roaring stance,Code,Cave
186,Leopard of Silver Naturalistic,Real,Mammal,Leopard,Silver & gold,Naturalistic,Proud,Slow prowl,Electric,Volcano
187,Leopard of Silver Naturalistic,Real,Mammal,Leopard,Silver & gold,Naturalistic,Aggressive,Roaring stance,Gravity,Riverbank
188,Leopard of Silver Naturalistic,Real,Mammal,Leopard,Silver & gold,Naturalistic,Aggressive,Slow prowl,Cosmic,Deep sea
189,Silver Gothic Leopard,Real,Mammal,Leopard,Silver & gold,Gothic,Proud,Roaring stance,Earth,Reef
190,Silver Gothic Leopard,Real,Mammal,Leopard,Silver & gold,Gothic,Proud,Slow prowl,Fire,Lagoon
191,Silverwing Leopard,Real,Mammal,Leopard,Silver & gold,Gothic,Aggressive,Roaring stance,Water,Tower
192,Silverwing Leopard,Real,Mammal,Leopard,Silver & gold,Gothic,Aggressive,Slow prowl,Air,Shrine
193,Owl of Gold Naturalistic,Real,Avian,Owl,Gold & brown,Naturalistic,Proud,Roaring stance,Shadow,Sacred Grove
194,Owl of Gold Naturalistic,Real,Avian,Owl,Gold & brown,Naturalistic,Proud,Slow prowl,Light,Marsh
195,Goldwing Owl,Real,Avian,Owl,Gold & brown,Naturalistic,Aggressive,Roaring stance,Nature,Playground
196,Goldwing Owl,Real,Avian,Owl,Gold & brown,Naturalistic,Aggressive,Slow prowl,Storm,Toybox
197,Gold Gothic Owl,Real,Avian,Owl,Gold & brown,Gothic,Proud,Roaring stance,Ice,Arcade
198,Gold Gothic Owl,Real,Avian,Owl,Gold & brown,Gothic,Proud,Slow prowl,Lightning,Kitchen
199,Goldwing Owl,Real,Avian,Owl,Gold & brown,Gothic,Aggressive,Roaring stance,Spirit,Server room
200,Goldwing Owl,Real,Avian,Owl,Gold & brown,Gothic,Aggressive,Slow prowl,Time,Cyberspace
201,Goldwing Owl,Real,Avian,Owl,Gold & flame,Naturalistic,Proud,Roaring stance,Space,Skyscraper
202,Goldwing Owl,Real,Avian,Owl,Gold & flame,Naturalistic,Proud,Slow prowl,Void,Terminal
203,Goldwing Owl,Real,Avian,Owl,Gold & flame,Naturalistic,Aggressive,Roaring stance,Sound,Grove
204,Goldwing Owl,Real,Avian,Owl,Gold & flame,Naturalistic,Aggressive,Slow prowl,Energy,Nebula
205,The Proud Owl,Real,Avian,Owl,Gold & flame,Gothic,Proud,Roaring stance,Magic,Void
206,The Proud Owl,Real,Avian,Owl,Gold & flame,Gothic,Proud,Slow prowl,Code,Chronoscape
207,The Aggressive Owl,Real,Avian,Owl,Gold & flame,Gothic,Aggressive,Roaring stance,Electric,Chamber
208,The Aggressive Owl,Real,Avian,Owl,Gold & flame,Gothic,Aggressive,Slow prowl,Gravity,Dimension Fold
209,Silverwing Owl,Real,Avian,Owl,Silver & gold,Naturalistic,Proud,Roaring stance,Cosmic,Rift
210,Silverwing Owl,Real,Avian,Owl,Silver & gold,Naturalistic,Proud,Slow prowl,Earth,Core
211,Silverwing Owl,Real,Avian,Owl,Silver & gold,Naturalistic,Aggressive,Roaring stance,Fire,Prism
212,Silverwing Owl,Real,Avian,Owl,Silver & gold,Naturalistic,Aggressive,Slow prowl,Water,Archive
213,Owl of Silver Gothic,Real,Avian,Owl,Silver & gold,Gothic,Proud,Roaring stance,Air,Night sky
214,Owl of Silver Gothic,Real,Avian,Owl,Silver & gold,Gothic,Proud,Slow prowl,Shadow,Horizon
215,Silverwing Owl,Real,Avian,Owl,Silver & gold,Gothic,Aggressive,Roaring stance,Light,Savannah
216,Silverwing Owl,Real,Avian,Owl,Silver & gold,Gothic,Aggressive,Slow prowl,Nature,Forest
217,Gold Naturalistic Falcon,Real,Avian,Falcon,Gold & brown,Naturalistic,Proud,Roaring stance,Storm,Ocean
218,Gold Naturalistic Falcon,Real,Avian,Falcon,Gold & brown,Naturalistic,Proud,Slow prowl,Ice,Jungle
219,Naturalistic Falcon of Avian,Real,Avian,Falcon,Gold & brown,Naturalistic,Aggressive,Roaring stance,Lightning,Desert
220,Naturalistic Falcon of Avian,Real,Avian,Falcon,Gold & brown,Naturalistic,Aggressive,Slow prowl,Spirit,Cliffs
221,Gothic Falcon of Avian,Real,Avian,Falcon,Gold & brown,Gothic,Proud,Roaring stance,Time,Garden
222,Gothic Falcon of Avian,Real,Avian,Falcon,Gold & brown,Gothic,Proud,Slow prowl,Space,Mountain
223,Gothic Falcon of Avian,Real,Avian,Falcon,Gold & brown,Gothic,Aggressive,Roaring stance,Void,Sky
224,Gothic Falcon of Avian,Real,Avian,Falcon,Gold & brown,Gothic,Aggressive,Slow prowl,Sound,Glade
225,Falcon of Gold Naturalistic,Real,Avian,Falcon,Gold & flame,Naturalistic,Proud,Roaring stance,Energy,Plateau
226,Falcon of Gold Naturalistic,Real,Avian,Falcon,Gold & flame,Naturalistic,Proud,Slow prowl,Magic,Ruins
227,The Aggressive Falcon,Real,Avian,Falcon,Gold & flame,Naturalistic,Aggressive,Roaring stance,Code,Temple
228,The Aggressive Falcon,Real,Avian,Falcon,Gold & flame,Naturalistic,Aggressive,Slow prowl,Electric,Cave
229,Falcon of Gold Gothic,Real,Avian,Falcon,Gold & flame,Gothic,Proud,Roaring stance,Gravity,Volcano
230,Falcon of Gold Gothic,Real,Avian,Falcon,Gold & flame,Gothic,Proud,Slow prowl,Cosmic,Riverbank
231,Gothic Falcon of Avian,Real,Avian,Falcon,Gold & flame,Gothic,Aggressive,Roaring stance,Earth,Deep sea
232,Gothic Falcon of Avian,Real,Avian,Falcon,Gold & flame,Gothic,Aggressive,Slow prowl,Fire,Reef
